ad_id,plan,content,pic_num,item_id,seller_user_id,placed_date
Y0CQ6,other,,1,NKRP6,UEAU3,2022-02-24
T4WN6,platinum,,2,QVT8S,XWXLZ,2022-08-26
GQ8JT,gold,Whom local tend employee source.,2,KIE8I,JZ1WL,2022-05-10
V49GW,other,,1,OEYRT,3DEPB,2022-07-17
N9427,silver,,1,TZZSO,ZXBS8,2022-02-01
9AFZA,other,Often late produce you true soldier.,1,GOA1X,MK3V5,2022-03-15
VPUEM,platinum,,2,41BHM,F98VS,2022-07-27
J82FF,silver,Painting create wife.,1,9T4E4,BL4U8,2022-07-31
5GT9S,gold,Mean always beyond write.,2,ZOXPM,LBHMK,2022-09-28
8N9S2,gold,Whom around put suddenly garden.,1,3KPDQ,XU609,2022-08-10
YUPSL,platinum,From animal exactly drive.,1,Q0D8Y,61A69,2022-05-31
CQ4EF,platinum,Close ask reduce.,1,LXLYF,77KUY,2022-07-01
CF8Z7,silver,Speak themselves speech.,2,33GFY,CZ859,2022-01-06
PN0R2,other,Wear individual about add senior woman.,1,JNSBK,PBHFC,2022-07-04
WFUH5,silver,Next water voice travel among.,2,199SM,KSZOZ,2022-01-04
PBRHO,silver,Character four smile responsibility.,2,1GR3D,6K1RV,2022-08-02
V1DGJ,platinum,,1,Y3C35,W2FN3,2022-04-27
8EBHM,gold,,2,WHQ8I,0R2KU,2022-09-06
XHCBM,platinum,Assume be seek article.,2,F6H5A,4FD3N,2022-07-09
4NDB8,other,Ask tell reduce total.,1,FCC2T,AP5ZX,2022-08-31
QEOET,silver,,2,507OD,HQSNA,2022-09-22
D63CG,other,,1,WJ5PN,YRL14,2022-08-15
W4KND,platinum,Responsibility southern at be than.,2,MZ0U0,VZNU6,2022-10-22
V7QH2,platinum,,1,N108C,CYGAE,2022-04-28
06TWY,silver,,2,IW0J0,AZB2M,2022-07-02
A3FVC,silver,,1,1BK15,IBCNI,2022-08-27
4WSWI,silver,,1,51CTV,LJNGC,2022-09-03
0FAMV,platinum,,2,6Y8W1,VJV2D,2022-03-25
2Y0CZ,other,Indeed between similar safe.,2,XJHVB,G7ZYX,2022-07-12
CK2EQ,platinum,,1,GT4Z5,5MYGN,2022-08-20
59AC5,silver,,2,81W16,AWFGJ,2022-04-01
3D0M9,gold,Cost both general where.,1,CCC53,6WQ8P,2022-04-26
IAZ0U,gold,,1,GPBCG,SAZF9,2022-09-30
A7GMH,platinum,Car federal indicate unit.,1,P0M0R,M2HT6,2022-06-12
RLG4Z,gold,,1,P8ZJW,QLECR,2022-06-04
2HQI7,silver,,2,QC9G0,3S3MN,2022-08-29
JRBCC,platinum,This American either moment ok.,1,NUUZE,519G2,2022-02-03
9UXC5,other,Audience energy move.,2,H2DRJ,3FLK5,2022-06-11
X8LNY,silver,,2,ET0Q8,449OC,2022-09-28
JRVVX,gold,,2,GPZPY,EBQH2,2022-01-24
CCRKJ,silver,,2,O0B6O,A0B31,2022-02-01
9ISH4,platinum,Cell of course its respond.,2,WD5M0,DAWJW,2022-07-23
TL7ET,other,Can travel know smile home southern.,2,AJWGF,Z0LJU,2022-01-13
T0GG9,other,,1,WA88F,5PQAC,2022-05-18
VH4H5,other,,1,EQIA6,ZB7CT,2022-03-05
VJKYF,gold,About pressure cell skill quite wife.,2,H0HZA,3XOCG,2022-05-04
MODYA,gold,,2,CSBS6,XAY57,2022-07-07
7S25N,other,,1,FZHDP,L3VKI,2022-04-19
OQK1M,silver,,1,KHO60,OFOQB,2022-01-07
B72MH,other,,1,OHX9M,Z0LJU,2022-01-20
NCNJG,platinum,,1,9J1JV,QWK5C,2022-04-04
X8JG5,platinum,Million push do pick.,2,7L11X,XV9E8,2022-09-04
175U5,other,Speech theory choice.,1,2V1QS,84ZNK,2022-10-28
M8OAV,silver,New clear these speak say.,1,YMYJO,8MZDC,2022-05-30
C7JQJ,other,Decade firm section economic.,2,LBXAQ,AADER,2022-08-11
4EF7C,gold,,1,BS6HD,G6G4D,2022-10-13
CTA2V,platinum,Sea stuff no response.,2,Z97S2,RM38H,2022-04-09
3X6Y7,gold,South run agree usually already bed.,1,MYA06,HFAMO,2022-05-12
7E1NS,other,Sound war address morning explain.,2,K16BX,QR19G,2022-06-06
4YOBA,platinum,,1,Z1G2E,QWAWV,2022-04-08
QVE5Q,silver,Break word source wall drug.,2,SKF0K,7WHJR,2022-01-20
YYDKI,platinum,,1,27SZF,E9K7C,2022-03-09
VDC40,platinum,,2,1WT76,XWXLZ,2022-03-03
FJW0C,other,,1,FNFQ2,0Z2LJ,2022-10-16
DG4JB,gold,Film manage several dark.,2,9N9TR,FXVJ8,2022-06-30
IUG9W,platinum,,2,JJGOO,ARWEB,2022-07-02
5HD3V,gold,Fire subject west. Fire town worker.,2,JUHND,KGD5Z,2022-03-05
SIYSH,platinum,,1,D7KEH,JCCF8,2022-09-26
Z2XM3,silver,Red effect else very your choice.,2,I46YC,F1I7H,2022-01-28
ECC5Q,gold,Possible lead draw learn city.,2,KLTHN,WHC3M,2022-01-01
NOF67,other,Billion parent now from.,2,2BZ5H,CGC2X,2022-10-12
HJ11F,gold,,1,LPFGP,92I2Y,2022-10-04
G0JB2,other,Group strong back approach.,1,U4IT7,0C7T4,2022-03-12
B5UQF,silver,,1,PXSIB,K3VTH,2022-07-28
WBWWL,gold,So teach energy possible believe step.,1,4RTIO,3M1YI,2022-01-15
OXEJN,gold,,2,YQACM,PRF6N,2022-08-31
HASXB,platinum,Forget whom goal clear inside.,1,LYJZD,U29GK,2022-06-01
L3H4W,silver,,2,6JEDO,X9W2Z,2022-02-27
NXV4S,silver,Purpose here ago job.,1,8515L,S3AB0,2022-08-08
9ULFG,silver,,2,72VJO,RPWW0,2022-08-26
JIOU6,platinum,,1,PNV6Z,GLVQG,2022-03-03
LSX0C,platinum,Necessary alone improve heart decade.,2,220YV,DDZV9,2022-06-04
ZEEI0,silver,Clearly ahead career manage tonight.,2,KZLD4,VX9SU,2022-03-03
J1TWF,platinum,,2,WJVR2,UFNUW,2022-07-20
X7DY0,gold,,1,QM5R3,LQ8DW,2022-10-08
U2NXS,other,,2,EEOKB,XMWLA,2022-06-08
LGRH9,platinum,Trouble upon beautiful.,1,6SCTF,I8U4Z,2022-06-03
2ZL01,platinum,,1,BEXSP,8LJTP,2022-02-23
3V7JW,other,Different many water meeting future.,2,GDA7I,0R2KU,2022-10-22
F4NSA,other,Discuss very score loss.,2,D26MW,BIVH0,2022-03-30
ANTHT,platinum,,1,30BZP,JUDOH,2022-05-31
4F5O8,other,,1,TLK9K,9CK79,2022-06-17
BHRCA,silver,,1,B5PEW,U5R93,2022-01-17
Z2GQW,silver,Him above bring.,2,37ZPB,QTM9A,2022-07-28
MFCEQ,silver,Unit dinner indeed listen.,1,02YGN,SW1FA,2022-08-28
H7PKE,other,Agreement girl happen front law.,1,QQEM3,PCL39,2022-04-16
S7I7N,gold,,1,86J10,NQP88,2022-09-27
8ZRS2,silver,Cell kid growth main use chance story.,1,E62DS,HYR8F,2022-01-23
IKHHY,other,Garden free perform civil.,2,A0VN9,VRWGT,2022-05-12
I9TW4,other,,1,9XKBX,VZNU6,2022-04-22
56U5D,other,,1,ASJPL,HQF90,2022-02-04
5DNBW,other,,2,X2J7P,UVBIT,2022-01-26
A7EFZ,gold,,2,RGX5T,HYR8F,2022-07-19
2XAMN,gold,,2,9P97R,XYUHX,2022-06-27
HARSO,platinum,Phone nor as year look floor.,1,JXY8R,A8U7K,2022-02-21
SMG13,silver,,1,M1GV3,YRL14,2022-10-17
V01J2,platinum,Case yet between night western serious.,2,EFBHU,C0UHU,2022-07-22
INL2W,other,,2,UGNRH,ISPDE,2022-05-16
5YOM2,platinum,Produce foreign the site.,1,IQ1AH,AZQD3,2022-07-19
DYCOF,platinum,,1,WU0G8,F98VS,2022-08-20
LOTF6,silver,Skill industry old effect.,2,DS4GZ,BX2PI,2022-01-20
W03D7,other,Relationship local air ball better.,2,YCMC6,6QJGV,2022-07-24
5Q4NV,silver,,1,81FOL,SGSRE,2022-02-28
DKWAS,gold,,2,KLB1H,TH583,2022-03-02
1OZ9O,other,,1,THOFT,3O35F,2022-03-19
GFUU8,other,Include herself hold his.,1,WRWM4,L20JI,2022-04-05
QB7CM,silver,,1,R8VMO,V20LN,2022-01-21
7WMMQ,silver,,2,M19FT,Q1X68,2022-05-09
YQ4WP,gold,,1,3CC82,8MZDC,2022-07-26
9EA35,other,,2,YZ6S4,MRY5A,2022-08-29
0532H,gold,,2,JD0UD,DAWJW,2022-05-01
GJ0N2,gold,Hotel matter guy great old.,2,ENKHD,CXDQI,2022-05-18
9ZCLP,other,,1,KY2MI,IUWG8,2022-03-30
RWU1G,silver,Approach today all.,2,FCPWW,1WI5Q,2022-08-29
MS263,silver,,2,NCXHW,N7TIV,2022-06-28
BHGL0,platinum,,2,X6B1N,3M1YI,2022-02-13
A861D,gold,,2,7Q1IE,AP5ZX,2022-02-17
RHWO8,silver,,1,6K3AB,JCCF8,2022-01-19
PE7TU,platinum,,2,RGFOT,4Z5VC,2022-10-19
4SKIA,silver,,2,F8X3C,NW0RD,2022-01-29
BIZJL,gold,,1,GJM6C,QTM9A,2022-09-18
N5NPI,platinum,Off little happy short during.,1,Y4RI7,BKW17,2022-05-20
WI5GB,silver,,1,QFD9M,F5WTM,2022-10-09
TAO9K,other,Religious your outside.,1,ZEJ0P,4FD3N,2022-10-26
48UFQ,platinum,Walk draw front plan focus century.,2,30QV1,XWXLZ,2022-07-06
MUSYD,platinum,,1,NBGBF,L8LC6,2022-03-16
PV2OQ,silver,Page clear newspaper ball may.,1,I3HI7,UFNZK,2022-02-14
TBW8D,platinum,,2,XA91K,FUR3X,2022-10-10
5DBPC,gold,,1,9XJ21,9R01Y,2022-10-11
UEDW1,platinum,Before open hot campaign throughout.,1,KV1DG,86J10,2022-03-30
N21JW,silver,,1,WQ8M2,KR138,2022-02-19
V0YA0,silver,Bank result peace reality evidence.,2,4PSLL,R8LB9,2022-01-16
3CH0Y,platinum,,1,TUUJ5,P4FIZ,2022-09-11
I6JFV,platinum,Might catch that trip.,1,D86Q5,4VDK3,2022-03-10
LPBK9,platinum,Enter wind heavy anything.,2,GJKO5,QN99Y,2022-01-14
1G3JC,silver,,2,3U4UW,SB3L6,2022-01-13
YBC5F,silver,,2,DYM05,YRL14,2022-02-20
J3P6W,platinum,Step have perform because.,1,FSCOL,8VI0V,2022-02-25
ZVR5Z,gold,,1,A84FX,7B5PR,2022-07-10
S94C8,silver,Choice chance of enter deep walk.,1,JC74R,7ERSM,2022-01-15
C3ZHZ,silver,,1,6VNJH,142WW,2022-08-16
BRCQS,platinum,Reflect soldier class personal quickly.,2,PG93O,BW3MU,2022-09-20
7VYQN,gold,Ten will summer specific.,1,DFOCE,BSJMW,2022-10-03
VP8WK,platinum,,1,ME6NS,LC3OK,2022-02-25
ADJWX,silver,Their defense floor themselves she.,1,22V1Z,XAY57,2022-05-31
U5Z1K,gold,Fear knowledge player down positive.,1,K9G6O,BV5DO,2022-09-03
C2IVA,other,Member sign life successful season.,1,J348U,N169E,2022-07-08
QME91,silver,Remain team body all financial.,2,IMK9T,ZST93,2022-07-03
L7KEK,gold,Community study into job half black.,1,H7ZHD,K3UHS,2022-07-23
8Y1RT,silver,,1,FR0CJ,0HC1E,2022-05-12
RQ879,silver,Billion blue right.,1,TYQPS,ET59G,2022-04-23
M1JA6,platinum,Early student range know.,1,8HNRI,MRY5A,2022-08-10
YX3C9,other,Night administration but.,2,Q6Y9L,KVQRA,2022-09-08
