item_id,name,price,category,description,seller_user_id,list_date,buyer_user_id,purchase_date
WN6IS,Pet Grooming,1445.77,Pet Supplies,For your lovely pet,XZJXD,2022-05-30,,
W1UN9,Sports Shoes,1254.63,Sports & Outdoors,,G6UPG,2022-06-13,,
VPUEM,Toothpaste,417.77,Beauty & Personal Care,,4CXZQ,2022-04-11,,
H9V8N,Handwash,1840.89,Beauty & Personal Care,,O9NN6,2022-07-08,,
EFIJC,Hat,498.2,Sports & Outdoors,100% Synthetic,HYR8F,2022-04-28,,
0R25W,Paint Brushes,1708.14,"Arts, Crafts & Sewing",,X9W2Z,2022-05-20,,
KV1DG,Tshirt,1032.59,"Clothing, Shoes & Jewelry",Machine Wash,G9Q2G,2022-03-26,,
XHCBM,Mats,1396.52,Home & Kitchen,One of a kind stainless steel,XMWLA,2022-02-24,,
TW1LD,Salad Spinner,1209.81,Home & Kitchen,,8K3RE,2022-02-24,,
DKKV7,Sports Shoes,857.98,Sports & Outdoors,,R2YNB,2022-02-06,,
QJ9A3,Paper Clips,31.51,Office Products,,1149O,2022-04-08,,
ITY0F,Paper Clips,1765.32,Office Products,For everyday office use,CZ859,2022-10-01,,
0CK2E,Marker,763.68,Office Products,For everyday office use,0BMS5,2022-02-27,,
FIAZ0,Bowls,1124.16,Home & Kitchen,,NJYKN,2022-02-08,,
LG4ZF,Necklace,255.61,"Clothing, Shoes & Jewelry",,WJRLZ,2022-01-29,,
Q9UXC,Teddy Bear,1063.37,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",TH5WQ,2022-05-09,,
RVVXF,Canvas,1019.5,"Arts, Crafts & Sewing",Set of 12,N7TIV,2022-08-06,,
PDTL7,Lamp,1301.85,Others,,SB3L6,2022-05-18,,
51CTV,Handwash,84.38,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",6QJGV,2022-05-03,,
Z97S2,Serum,1201.29,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",G558B,2022-09-06,,
EB72M,Laptop Stand,490.36,Electronics,,TJX73,2022-08-03,,
JG5JZ,Plants,42.4,Others,for everyday use,AXYFV,2022-06-21,,
AVUUC,Marker,1763.24,Office Products,For everyday office use,GPYLB,2022-04-12,,
CEOIC,Nail Paint,873.72,Others,,Z0LJU,2022-08-02,,
F7E1N,Kite,736.88,Toys & Games,make a great gift for kids 3 to 7 years olds,4Z5VC,2022-02-06,,
QVE5Q,Pet Bed,231.61,Pet Supplies,For your lovely pet,BBHBZ,2022-06-04,,
J5FJW,Teddy Bear,647.65,Toys & Games,,CYGAE,2022-09-17,,
G9WMY,Pen,1305.45,Office Products,,7W8YE,2022-01-01,PO4Q4,2022-07-11
H7MCZ,Serum,1144.77,Beauty & Personal Care,,0BMS5,2022-05-10,,
NOF67,Mats,1701.89,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,ME7DC,2022-10-11,,
B210B,Facewash,1.32,Beauty & Personal Care,Suitable for all skin types,L20JI,2022-10-01,,
AOXEJ,Mobile,1761.31,Electronics,,JWXSS,2022-03-16,,
L3H4W,Bowls,1428.15,Home & Kitchen,,PINBW,2022-03-28,,
G8TKY,Sports Shoes,1818.79,Sports & Outdoors,100% Synthetic,6IPKS,2022-02-25,,
BZEEI,Hoodie,889.58,"Clothing, Shoes & Jewelry",,ISPDE,2022-06-23,,
7DY0A,Basketball,900.26,Sports & Outdoors,100% Synthetic,IJI6N,2022-02-01,,
J2ZL0,Hat,1364.83,Sports & Outdoors,,FUAY0,2022-07-17,,
23ANT,Laptop Stand,131.54,Electronics,Reams of high-bandwidth DDR4 RAM,WW2NM,2022-02-12,,
RBHRC,Pet Bed,430.67,Pet Supplies,,BL4U8,2022-08-03,,
FCEQT,Marker,1011.58,Office Products,,FXVJ8,2022-10-02,,
N8G08,Bath Soap,891.13,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",0V5C9,2022-08-01,,
3I9TW,Charger,1520.68,Electronics,【11th Gen Intel Core i5-1135G7】,86J10,2022-07-29,,
NBW4Z,Pen,1659.1,Office Products,For everyday office use,1H9CX,2022-08-23,3BADC,2022-10-19
SOJSM,Pet Bed,1211.16,Pet Supplies,,GQM6L,2022-04-22,,
NL2WY,Water and Food Bowls,1238.51,Pet Supplies,For your lovely pet,CYGAE,2022-02-05,5D94C,2022-07-04
FLXDL,Pen,724.2,Office Products,For everyday office use,3QPJE,2022-05-04,,
