item_id,frequency
VPUEM,quarterly
EFIJC,yearly
0R25W,quarterly
KV1DG,yearly
XHCBM,once
TW1LD,daily
DKKV7,yearly
0CK2E,once
FIAZ0,monthly
LG4ZF,weekly
Q9UXC,once
EB72M,daily
JG5JZ,weekly
F7E1N,quarterly
G9WMY,daily
B210B,daily
AOXEJ,weekly
BZEEI,once
23ANT,daily
RBHRC,quarterly
FCEQT,yearly
NBW4Z,monthly
FLXDL,once
OZ9O3,once
MS263,weekly
861DH,yearly
UOX4S,quarterly
TAO9K,weekly
YDNCU,weekly
6JFVP,quarterly
ZVR5Z,quarterly
W5DBR,yearly
P8WKJ,quarterly
1JA6J,weekly
E1ZRQ,daily
H84CU,once
II4C7,quarterly
MQUQQ,daily
3P37K,once
AU395,yearly
J7SCA,monthly
S6HXW,quarterly
63C4G,monthly
DI9MA,daily
O5TRO,yearly
JO2SX,weekly
1J5N2,quarterly
G71SV,yearly
BQVIW,daily
UIR9A,daily
Y0ROQ,quarterly
YBPFT,yearly
14DK7,weekly
KP9IK,yearly
Y875G,quarterly
WZQEK,weekly
I6SAJ,yearly
QANLL,daily
60OAD,yearly
MDVIU,yearly
68EAC,once
ODN0B,once
INKF4,quarterly
6IHVA,daily
7FFU2,monthly
WCXLV,once
KC47K,yearly
F85NS,quarterly
Q6S50,quarterly
2T904,quarterly
IRFRO,quarterly
NS9ZE,quarterly
34FRS,once
GG5P7,weekly
8YMTG,yearly
2DS61,monthly
4Q6ZI,daily
UMV0I,once
F92IG,quarterly
DPHK2,quarterly
YNQYO,once
BG37L,weekly
SECFW,monthly
VOYBV,once
LH54I,yearly
QUMHP,monthly
OYAM5,daily
SY6B5,weekly
Y8W94,once
GK3I5,monthly
DI3IQ,once
1MREI,monthly
G82UL,daily
TLK9K,once
U5V46,daily
HD377,weekly
XY7X0,yearly
URS2V,quarterly
AN3TZ,weekly
J52AU,weekly
RMHWY,daily
P8ENU,monthly
BDMK5,once
8OTA0,yearly
ZA1O1,yearly
YLO9G,once
6WPC0,quarterly
2XC7O,monthly
6UPG9,weekly
Q6VOV,yearly
VQ2BV,weekly
OO5QT,weekly
GC9F1,daily
TUE1V,monthly
BBT3H,yearly
UEWB2,weekly
DY2YC,once
GIDAQ,quarterly
7P27B,daily
LV2FX,daily
PAXIB,monthly
OAOYI,monthly
