ad_id,item_id,seller_user_id,placed_date
Y0CQ6,NKRP6,UEAU3,2022-02-24
T4WN6,QVT8S,XWXLZ,2022-08-26
GQ8JT,KIE8I,JZ1WL,2022-05-10
V49GW,OEYRT,3DEPB,2022-07-17
N9427,TZZSO,ZXBS8,2022-02-01
9AFZA,GOA1X,MK3V5,2022-03-15
VPUEM,41BHM,F98VS,2022-07-27
J82FF,9T4E4,BL4U8,2022-07-31
5GT9S,ZOXPM,LBHMK,2022-09-28
8N9S2,3KPDQ,XU609,2022-08-10
YUPSL,Q0D8Y,61A69,2022-05-31
CQ4EF,LXLYF,77KUY,2022-07-01
CF8Z7,33GFY,CZ859,2022-01-06
PN0R2,JNSBK,PBHFC,2022-07-04
WFUH5,199SM,KSZOZ,2022-01-04
PBRHO,1GR3D,6K1RV,2022-08-02
V1DGJ,Y3C35,W2FN3,2022-04-27
8EBHM,WHQ8I,0R2KU,2022-09-06
XHCBM,F6H5A,4FD3N,2022-07-09
4NDB8,FCC2T,AP5ZX,2022-08-31
QEOET,507OD,HQSNA,2022-09-22
D63CG,WJ5PN,YRL14,2022-08-15
W4KND,MZ0U0,VZNU6,2022-10-22
V7QH2,N108C,CYGAE,2022-04-28
06TWY,IW0J0,AZB2M,2022-07-02
A3FVC,1BK15,IBCNI,2022-08-27
4WSWI,51CTV,LJNGC,2022-09-03
0FAMV,6Y8W1,VJV2D,2022-03-25
2Y0CZ,XJHVB,G7ZYX,2022-07-12
CK2EQ,GT4Z5,5MYGN,2022-08-20
59AC5,81W16,AWFGJ,2022-04-01
3D0M9,CCC53,6WQ8P,2022-04-26
IAZ0U,GPBCG,SAZF9,2022-09-30
A7GMH,P0M0R,M2HT6,2022-06-12
RLG4Z,P8ZJW,QLECR,2022-06-04
2HQI7,QC9G0,3S3MN,2022-08-29
JRBCC,NUUZE,519G2,2022-02-03
9UXC5,H2DRJ,3FLK5,2022-06-11
X8LNY,ET0Q8,449OC,2022-09-28
JRVVX,GPZPY,EBQH2,2022-01-24
CCRKJ,O0B6O,A0B31,2022-02-01
9ISH4,WD5M0,DAWJW,2022-07-23
TL7ET,AJWGF,Z0LJU,2022-01-13
T0GG9,WA88F,5PQAC,2022-05-18
VH4H5,EQIA6,ZB7CT,2022-03-05
VJKYF,H0HZA,3XOCG,2022-05-04
MODYA,CSBS6,XAY57,2022-07-07
7S25N,FZHDP,L3VKI,2022-04-19
OQK1M,KHO60,OFOQB,2022-01-07
B72MH,OHX9M,Z0LJU,2022-01-20
NCNJG,9J1JV,QWK5C,2022-04-04
X8JG5,7L11X,XV9E8,2022-09-04
175U5,2V1QS,84ZNK,2022-10-28
M8OAV,YMYJO,8MZDC,2022-05-30
C7JQJ,LBXAQ,AADER,2022-08-11
4EF7C,BS6HD,G6G4D,2022-10-13
CTA2V,Z97S2,RM38H,2022-04-09
3X6Y7,MYA06,HFAMO,2022-05-12
7E1NS,K16BX,QR19G,2022-06-06
4YOBA,Z1G2E,QWAWV,2022-04-08
QVE5Q,SKF0K,7WHJR,2022-01-20
YYDKI,27SZF,E9K7C,2022-03-09
VDC40,1WT76,XWXLZ,2022-03-03
FJW0C,FNFQ2,0Z2LJ,2022-10-16
DG4JB,9N9TR,FXVJ8,2022-06-30
IUG9W,JJGOO,ARWEB,2022-07-02
5HD3V,JUHND,KGD5Z,2022-03-05
SIYSH,D7KEH,JCCF8,2022-09-26
Z2XM3,I46YC,F1I7H,2022-01-28
ECC5Q,KLTHN,WHC3M,2022-01-01
NOF67,2BZ5H,CGC2X,2022-10-12
HJ11F,LPFGP,92I2Y,2022-10-04
G0JB2,U4IT7,0C7T4,2022-03-12
B5UQF,PXSIB,K3VTH,2022-07-28
WBWWL,4RTIO,3M1YI,2022-01-15
OXEJN,YQACM,PRF6N,2022-08-31
HASXB,LYJZD,U29GK,2022-06-01
L3H4W,6JEDO,X9W2Z,2022-02-27
NXV4S,8515L,S3AB0,2022-08-08
9ULFG,72VJO,RPWW0,2022-08-26
JIOU6,PNV6Z,GLVQG,2022-03-03
LSX0C,220YV,DDZV9,2022-06-04
ZEEI0,KZLD4,VX9SU,2022-03-03
J1TWF,WJVR2,UFNUW,2022-07-20
X7DY0,QM5R3,LQ8DW,2022-10-08
U2NXS,EEOKB,XMWLA,2022-06-08
LGRH9,6SCTF,I8U4Z,2022-06-03
2ZL01,BEXSP,8LJTP,2022-02-23
3V7JW,GDA7I,0R2KU,2022-10-22
F4NSA,D26MW,BIVH0,2022-03-30
ANTHT,30BZP,JUDOH,2022-05-31
4F5O8,TLK9K,9CK79,2022-06-17
BHRCA,B5PEW,U5R93,2022-01-17
Z2GQW,37ZPB,QTM9A,2022-07-28
MFCEQ,02YGN,SW1FA,2022-08-28
H7PKE,QQEM3,PCL39,2022-04-16
S7I7N,86J10,NQP88,2022-09-27
8ZRS2,E62DS,HYR8F,2022-01-23
IKHHY,A0VN9,VRWGT,2022-05-12
I9TW4,9XKBX,VZNU6,2022-04-22
56U5D,ASJPL,HQF90,2022-02-04
5DNBW,X2J7P,UVBIT,2022-01-26
A7EFZ,RGX5T,HYR8F,2022-07-19
2XAMN,9P97R,XYUHX,2022-06-27
HARSO,JXY8R,A8U7K,2022-02-21
SMG13,M1GV3,YRL14,2022-10-17
V01J2,EFBHU,C0UHU,2022-07-22
INL2W,UGNRH,ISPDE,2022-05-16
5YOM2,IQ1AH,AZQD3,2022-07-19
DYCOF,WU0G8,F98VS,2022-08-20
LOTF6,DS4GZ,BX2PI,2022-01-20
W03D7,YCMC6,6QJGV,2022-07-24
5Q4NV,81FOL,SGSRE,2022-02-28
DKWAS,KLB1H,TH583,2022-03-02
1OZ9O,THOFT,3O35F,2022-03-19
GFUU8,WRWM4,L20JI,2022-04-05
QB7CM,R8VMO,V20LN,2022-01-21
7WMMQ,M19FT,Q1X68,2022-05-09
YQ4WP,3CC82,8MZDC,2022-07-26
9EA35,YZ6S4,MRY5A,2022-08-29
0532H,JD0UD,DAWJW,2022-05-01
GJ0N2,ENKHD,CXDQI,2022-05-18
9ZCLP,KY2MI,IUWG8,2022-03-30
RWU1G,FCPWW,1WI5Q,2022-08-29
MS263,NCXHW,N7TIV,2022-06-28
BHGL0,X6B1N,3M1YI,2022-02-13
A861D,7Q1IE,AP5ZX,2022-02-17
RHWO8,6K3AB,JCCF8,2022-01-19
PE7TU,RGFOT,4Z5VC,2022-10-19
4SKIA,F8X3C,NW0RD,2022-01-29
BIZJL,GJM6C,QTM9A,2022-09-18
N5NPI,Y4RI7,BKW17,2022-05-20
WI5GB,QFD9M,F5WTM,2022-10-09
TAO9K,ZEJ0P,4FD3N,2022-10-26
48UFQ,30QV1,XWXLZ,2022-07-06
MUSYD,NBGBF,L8LC6,2022-03-16
PV2OQ,I3HI7,UFNZK,2022-02-14
TBW8D,XA91K,FUR3X,2022-10-10
5DBPC,9XJ21,9R01Y,2022-10-11
UEDW1,KV1DG,86J10,2022-03-30
N21JW,WQ8M2,KR138,2022-02-19
V0YA0,4PSLL,R8LB9,2022-01-16
3CH0Y,TUUJ5,P4FIZ,2022-09-11
I6JFV,D86Q5,4VDK3,2022-03-10
LPBK9,GJKO5,QN99Y,2022-01-14
1G3JC,3U4UW,SB3L6,2022-01-13
YBC5F,DYM05,YRL14,2022-02-20
J3P6W,FSCOL,8VI0V,2022-02-25
ZVR5Z,A84FX,7B5PR,2022-07-10
S94C8,JC74R,7ERSM,2022-01-15
C3ZHZ,6VNJH,142WW,2022-08-16
BRCQS,PG93O,BW3MU,2022-09-20
7VYQN,DFOCE,BSJMW,2022-10-03
VP8WK,ME6NS,LC3OK,2022-02-25
ADJWX,22V1Z,XAY57,2022-05-31
U5Z1K,K9G6O,BV5DO,2022-09-03
C2IVA,J348U,N169E,2022-07-08
