seller_user_id,item_id,price
7W8YE,G9WMY,1305.45
1H9CX,NBW4Z,1659.10
CYGAE,NL2WY,1238.51
S3AB0,9135Q,1330.42
S3AB0,ZVR5Z,198.15
FWVAJ,E1ZRQ,552.48
8X3PV,W2VY6,1349.70
NKNLM,4UG2X,890.77
ZXBS8,MF3MA,982.93
T40C2,UIR9A,646.93
Z5WLW,SCBAR,1783.50
GPYLB,YBPFT,85.64
C1NTG,T2I4S,1041.41
1QXIF,6CYXV,754.10
OZBPO,2DS61,1567.14
T21O4,F92IG,986.31
BF3QQ,YNQYO,675.38
BKW17,5JZ1Z,1973.35
Y1GW1,PFJZX,302.15
DPGAP,TLK9K,1680.93
K3VTH,JJDHJ,1758.98
WW2NM,J52AU,446.79
PVB4C,VI9XK,800.21
TT1MJ,ZA1O1,1071.46
LJNGC,GI3W6,318.92
BJLLH,7D3PZ,242.47
WH1ZH,BBT3H,1541.82
BSJMW,4IBZ1,192.32
CJZRT,SGPTE,896.85
9CK79,A7G8C,1397.59
DRBJ8,J348U,1805.96
549RZ,OSKPM,768.31
5MYGN,Y9WG6,949.60
R8LB9,3J8RD,805.50
RVZRR,PCOU6,1732.39
L4VJ1,AZQPB,253.39
9R01Y,8LXVO,1785.50
L20JI,C228J,1236.90
GV6M6,87LAG,444.60
3K1ND,HHDHJ,919.52
1WI5Q,VU80J,1753.52
BV5DO,RJWPA,979.15
77E29,YCIGI,544.26
P35EW,0LJCV,314.51
6EBHW,44923,643.14
85TQL,L5WIC,988.85
3XOCG,FF1UT,1671.72
SFE8H,EAOS9,790.25
NKKLD,5C0AX,1763.72
SZXQH,MOEMV,1482.30
L6USX,7LU7S,1134.60
HSQAJ,T3WJL,1641.90
6KXC3,JYKNH,1583.23
CA969,V7KJA,1614.89
8F6ZS,9YGH1,130.16
3KFLS,L5WSL,136.40
QQB6Q,WW0H1,1089.61
PRF6N,TQEAU,1704.27
1QXIF,AOIBW,922.31
3KLP3,QBO0V,1976.38
N3780,A0VN9,1055.12
1WI5Q,POY3P,1745.30
29003,IBMNJ,494.88
8RY42,SPX6A,897.36
T4T3I,ERP4W,332.52
TJ6FX,F8KHW,1427.78
Z49UX,BICLS,796.56
7ERSM,AAQ2V,1768.64
SHGFE,QJCXB,1513.10
K3UHS,WXVDP,1121.97
UFNZK,CZ8HX,830.25
YAK94,L6KPB,1258.54
7B5PR,86HO3,1572.26
62876,6MR70,1977.75
G2W79,FE2RM,38.60
12TJH,05RLT,1687.12
PBHFC,E5TLF,168.77
GPYLB,CBIYN,1250.28
ARQJD,95TFL,624.50
N7TIV,GUKJ5,1184.34
LZLDV,LBYQP,67.31
0YDV7,Y3XA9,313.43
RM38H,V57SD,261.11
BBHBZ,LAFE6,126.92
GKTCF,0CGK1,1975.54
3FLK5,M1SOB,971.52
YRL14,IQZI6,1313.42
LBHMK,N1OKM,412.25
E9K7C,NFUD2,1575.58
8K3RE,5V44Z,1453.95
HGTUB,WK7XM,1325.10
LBHMK,4J9W6,1241.50
4I4WY,YG3TD,949.32
7ERSM,KYOO6,1467.66
AWXDQ,GS39K,539.37
BJLLH,9FIEO,1038.64
TYD9O,A3FNT,1945.00
RVZRR,77X9V,1819.79
LAAAV,YU5MK,367.37
AU687,3GIJJ,999.21
6F0TV,MYJ07,1643.71
8F6ZS,E6FDC,1890.14
L9Y33,3QBH9,1248.93
K3UHS,6K54R,46.83
HVJUT,OATI0,1177.94
X9W2Z,A38YQ,1653.46
VWQZC,LZ3IZ,1513.78
SZXQH,ZV37K,794.50
DPGAP,K6F80,397.83
SEOMV,JQIZU,1504.49
P8UM4,B1WSU,902.97
CXDQI,K85RF,1418.30
VJL5E,0TMEN,1870.28
X342E,UQI4C,426.36
142WW,MQQVX,1038.27
CVK2U,16XZX,1171.97
PRF6N,YR9IC,714.46
1149O,AXHYM,463.70
5NRYI,HZY77,460.75
549RZ,703KP,1292.67
7IVK8,F5DE2,1691.70
O83AN,SLGWH,966.93
Z49UX,MF8L6,299.51
NBQEK,R8ZNT,1425.11
XZJXD,6KEJ9,774.55
FRH4L,NQON9,1792.69
M63IT,YR8F8,410.63
N8P04,0HRXO,1799.46
K3VTH,GQIKI,117.30
K3MXR,K8J6O,893.27
FZ6BO,G2W79,730.90
WW2NM,1DFNM,1676.83
PZXJ8,DEAQN,1971.29
Y26NY,MVR7X,167.60
6P3VN,QUTVA,1289.85
3FLK5,BLYA4,100.85
3O35F,EAG17,1932.34
7B5PR,ZN492,1796.63
6KVU0,AOK6V,1306.70
3AFOH,77EMZ,1261.11
1E2BT,SUWI1,429.90
P8UOK,DKUNX,595.29
A5WQ0,A4D5Z,1452.64
8RY42,WMTTJ,214.38
CUVCD,TABM6,1356.33
V87IG,GO4NJ,251.89
P1ZUA,DDXDK,1486.30
V20LN,YFAT8,300.97
QWEC7,IZQ4T,1336.81
6ZG2P,47TZC,1028.53
Y4RHZ,ILX7C,257.87
3FLK5,GOLS1,1848.28
LHRYU,9W9VI,693.85
WH1ZH,T7ZIJ,684.10
7W8YE,BRGOP,128.56
YRL14,IFSLQ,195.17
2SZAM,NBBT0,1927.74
QTM9A,ZDJ5J,1981.26
87CKX,MGYBC,1198.33
BHDQW,G0YO4,1499.25
V20LN,XAOZP,1985.27
P9Q6Y,1WQXN,730.70
231ZN,N2LC5,1024.87
9EN65,49N6T,1730.90
JWXSS,I05MU,391.30
HC0DY,S9DRY,77.20
0ZJZT,FBDW7,797.28
69SJG,DSDYN,200.32
67EYU,NO7E9,101.84
0R2KU,594BG,1071.88
OZBPO,YOBR0,1836.73
0RNM3,UDVEB,950.44
3I68A,1Q1S6,266.26
77E29,1INO4,431.37
OPGY0,DDHY2,1437.60
QX1AY,QYR18,1548.85
0QEPM,K70IV,128.96
QTM9A,BAK0R,1910.70
FUAY0,VBEFT,277.82
GV6M6,7H8HN,290.13
LZLDV,BBB6Q,275.50
JH82V,CXUCE,424.26
8VI0V,OVI5Q,1402.61
BX2PI,KXAEK,139.43
EBQH2,GGVA0,1301.60
77KUY,XP27B,448.11
ARWEB,JB2MI,1140.30
OREG1,4IHZH,1037.75
R7K4O,382XM,57.71
GPJ8L,EMK94,558.10
859E2,RLZ58,572.97
5NRYI,2XIBM,1651.20
1VPD1,JHAMI,1415.36
YDQ24,ZCZOB,290.30
E9K7C,MGBAZ,740.47
ZVZGY,9TMLV,1826.45
RVZRR,WZFBO,204.40
GPYLB,VK0WY,784.29
QN99Y,PCMU7,354.82
3AFOH,96ELI,1291.44
GZ97S,G0MGV,1718.43
0R2KU,PD8NX,1531.93
87U6Q,4GP4B,926.45
X1CL7,7ZVFV,828.90
VJV2D,ZA0MC,299.99
3DEPB,NJLJ8,1209.25
RYVDX,WEF0G,1260.43
RSBL9,XLVRL,970.83
3FLK5,F5BQE,587.45
ZLIUE,6L8G2,55.20
OREG1,Y46O9,1946.79
L4VJ1,480VS,1414.89
YFIBA,BM6UL,1321.56
W7QGR,Q4JFC,347.10
1QXIF,U79AL,1949.12
