category,item_id
Office Products,G9WMY
Office Products,NBW4Z
Pet Supplies,NL2WY
Electronics,9135Q
Electronics,ZVR5Z
"Clothing, Shoes & Jewelry",E1ZRQ
"Arts, Crafts & Sewing",W2VY6
Sports & Outdoors,4UG2X
Home & Kitchen,MF3MA
Electronics,UIR9A
Others,SCBAR
Pet Supplies,YBPFT
Toys & Games,T2I4S
Pet Supplies,6CYXV
Sports & Outdoors,2DS61
Toys & Games,F92IG
Office Products,YNQYO
Sports & Outdoors,5JZ1Z
"Arts, Crafts & Sewing",PFJZX
Beauty & Personal Care,TLK9K
Beauty & Personal Care,JJDHJ
Home & Kitchen,J52AU
Beauty & Personal Care,VI9XK
Beauty & Personal Care,ZA1O1
Beauty & Personal Care,GI3W6
"Arts, Crafts & Sewing",7D3PZ
Others,BBT3H
Toys & Games,4IBZ1
Sports & Outdoors,SGPTE
Home & Kitchen,A7G8C
Toys & Games,J348U
Others,OSKPM
Sports & Outdoors,Y9WG6
"Arts, Crafts & Sewing",3J8RD
Beauty & Personal Care,PCOU6
Home & Kitchen,AZQPB
Electronics,8LXVO
Toys & Games,C228J
Beauty & Personal Care,87LAG
Beauty & Personal Care,HHDHJ
"Clothing, Shoes & Jewelry",VU80J
Home & Kitchen,RJWPA
Sports & Outdoors,YCIGI
Beauty & Personal Care,0LJCV
"Arts, Crafts & Sewing",44923
Beauty & Personal Care,L5WIC
Others,FF1UT
Home & Kitchen,EAOS9
Toys & Games,5C0AX
Office Products,MOEMV
Others,7LU7S
Beauty & Personal Care,T3WJL
Others,JYKNH
Others,V7KJA
Others,9YGH1
Toys & Games,L5WSL
Sports & Outdoors,WW0H1
"Clothing, Shoes & Jewelry",TQEAU
Beauty & Personal Care,AOIBW
Toys & Games,QBO0V
Sports & Outdoors,A0VN9
Sports & Outdoors,POY3P
"Arts, Crafts & Sewing",IBMNJ
Electronics,SPX6A
Others,ERP4W
Home & Kitchen,F8KHW
Home & Kitchen,BICLS
Home & Kitchen,AAQ2V
Electronics,QJCXB
Beauty & Personal Care,WXVDP
Electronics,CZ8HX
Pet Supplies,L6KPB
Office Products,86HO3
Electronics,6MR70
"Arts, Crafts & Sewing",FE2RM
Toys & Games,05RLT
Beauty & Personal Care,E5TLF
Electronics,CBIYN
"Arts, Crafts & Sewing",95TFL
Toys & Games,GUKJ5
Toys & Games,LBYQP
Others,Y3XA9
Sports & Outdoors,V57SD
Office Products,LAFE6
Pet Supplies,0CGK1
Pet Supplies,M1SOB
Beauty & Personal Care,IQZI6
Beauty & Personal Care,N1OKM
Electronics,NFUD2
Others,5V44Z
Others,WK7XM
"Clothing, Shoes & Jewelry",4J9W6
"Clothing, Shoes & Jewelry",YG3TD
Others,KYOO6
"Clothing, Shoes & Jewelry",GS39K
Electronics,9FIEO
Home & Kitchen,A3FNT
Electronics,77X9V
Others,YU5MK
"Clothing, Shoes & Jewelry",3GIJJ
Electronics,MYJ07
Sports & Outdoors,E6FDC
Pet Supplies,3QBH9
Office Products,6K54R
Electronics,OATI0
"Arts, Crafts & Sewing",A38YQ
Office Products,LZ3IZ
Home & Kitchen,ZV37K
Office Products,K6F80
Home & Kitchen,JQIZU
Pet Supplies,B1WSU
Home & Kitchen,K85RF
Toys & Games,0TMEN
Beauty & Personal Care,UQI4C
Home & Kitchen,MQQVX
Home & Kitchen,16XZX
Sports & Outdoors,YR9IC
Sports & Outdoors,AXHYM
Pet Supplies,HZY77
Sports & Outdoors,703KP
Beauty & Personal Care,F5DE2
Beauty & Personal Care,SLGWH
Sports & Outdoors,MF8L6
Home & Kitchen,R8ZNT
Beauty & Personal Care,6KEJ9
"Arts, Crafts & Sewing",NQON9
