buyer_id,seller_id,quality,pricing,delivery,rating_date
Y0FAM,E9K7C,,,,2022-05-30
Y0FAM,O9NN6,,2,,2022-10-22
Y0FAM,LZLDV,3,4,,2022-06-13
55M8O,TH583,,3,2,2022-01-16
55M8O,4CXZQ,,3,3,2022-04-11
55M8O,U29GK,,,3,2022-07-18
DG4JB,MQBSG,,,2,2022-07-08
DG4JB,CJZRT,,,,2022-06-07
DG4JB,EGA3T,,,1,2022-04-28
CT9EA,H2NH0,2,,,2022-07-05
CT9EA,N7TIV,,,2,2022-05-20
CT9EA,6PA04,1,5,1,2022-08-15
OYWI5,Z6UIX,,4,,2022-03-26
OYWI5,UVBIT,,,,2022-07-16
OYWI5,PRBZA,,,,2022-02-24
1IN21,AXYFV,1,3,4,2022-04-20
1IN21,O83AN,4,,,2022-02-24
1IN21,5PQAC,,1,1,2022-10-21
ZHZW5,9EN65,,,,2022-02-06
ZHZW5,C0UHU,4,,1,2022-08-29
ZHZW5,JCCF8,,,,2022-04-08
XAEMH,BQ74R,1,5,,2022-07-26
XAEMH,0V5C9,,4,,2022-10-01
XAEMH,PRBZA,2,,2,2022-08-22
BLIBV,SEOMV,,4,1,2022-02-27
BLIBV,X9W2Z,,,,2022-05-01
BLIBV,GV6M6,1,,,2022-02-08
40KS6,W2FN3,,5,,2022-10-11
40KS6,XU609,2,,3,2022-01-29
40KS6,FWVAJ,,,,2022-09-23
8XKTJ,Z49UX,,,5,2022-05-09
8XKTJ,NKKLD,1,5,,2022-07-03
8XKTJ,6F0TV,1,3,,2022-08-06
ZW64O,OZBPO,3,,,2022-02-09
ZW64O,LV4UC,2,,,2022-05-18
ZW64O,G9Q2G,,4,1,2022-06-18
PW40B,HQSNA,2,,1,2022-05-03
PW40B,E9K7C,3,2,,2022-08-26
PW40B,L18JT,4,,,2022-09-06
YM05M,JWXSS,2,5,,2022-03-21
YM05M,IBCNI,4,5,,2022-08-03
YM05M,K5CLT,,4,,2022-07-05
IJBH1,OREG1,,,2,2022-06-21
IJBH1,SGSRE,5,,,2022-07-22
IJBH1,2LOF1,,1,,2022-04-12
TGLI2,8EBHM,,,,2022-01-25
TGLI2,G9Q2G,,1,2,2022-08-02
TGLI2,0HGJC,,,,2022-01-06
0WZQE,EJ2DW,,,,2022-02-06
0WZQE,X7OBY,1,,,2022-10-07
0WZQE,NKKLD,,3,4,2022-06-04
NQ2V5,IJI6N,,,2,2022-10-03
NQ2V5,K3MXR,2,2,,2022-09-17
NQ2V5,6PA04,5,,,2022-08-31
EDSO3,SGSRE,2,,3,2022-01-01
EDSO3,61A69,1,,,2022-08-26
EDSO3,6NS86,2,5,,2022-07-11
ILH54,3M1YI,,2,2,2022-05-10
ILH54,670AO,5,,,2022-04-05
ILH54,1MXH9,,1,,2022-10-11
TLGJQ,DNCLE,,,,2022-05-07
TLGJQ,KVQRA,,,,2022-10-01
ZNF0R,QR19G,,4,,2022-03-16
ZNF0R,H7FKP,,2,,2022-08-09
ZNF0R,SEOMV,4,3,,2022-03-28
L72RV,OTAU7,2,,1,2022-04-03
L72RV,2SZAM,5,5,,2022-02-25
L72RV,K3UHS,,,,2022-07-30
VR7T2,DI0C5,,,,2022-06-23
VR7T2,6P3VN,,5,4,2022-02-05
VR7T2,MRY5A,4,,4,2022-02-01
F9R3A,PV7VX,,1,1,2022-05-05
F9R3A,OE791,4,5,,2022-07-17
F9R3A,YAK94,,,1,2022-07-10
H5KYO,3QPJE,,,4,2022-02-12
H5KYO,C0UHU,5,,4,2022-04-28
H5KYO,Y4HF3,,,5,2022-08-03
PFO1U,6EBHW,1,,,2022-04-24
PFO1U,FZ6BO,5,1,1,2022-10-02
PFO1U,SB3L6,,,,2022-02-18
DGIQS,08KUN,5,,,2022-08-01
DGIQS,WDR82,,4,4,2022-05-10
DGIQS,4FD3N,,4,,2022-07-29
F28UM,BKW17,2,3,,2022-03-20
F28UM,449OC,1,,,2022-08-23
F28UM,JZ1WL,,5,,2022-08-01
KGX0O,4UMXE,3,4,1,2022-08-17
KGX0O,QMNGC,4,1,,2022-04-22
KGX0O,Z0LJU,,,,2022-06-22
EGS01,4FD3N,,,4,2022-02-05
EGS01,C1NTG,,3,2,2022-08-20
EGS01,8K3RE,4,3,1,2022-05-30
1OQRH,7CIPO,,5,,2022-05-04
1OQRH,PBHFC,1,,5,2022-08-12
1OQRH,OREG1,4,2,5,2022-04-05
YY9SM,87CKX,5,,,2022-04-23
YY9SM,QMHWG,,2,,2022-03-13
YY9SM,F1I7H,4,,1,2022-03-15
V8GKC,51WHM,,,,2022-03-14
V8GKC,GQM6L,,3,4,2022-01-13
V8GKC,T40C2,,,1,2022-08-26
S1V3H,AWXDQ,,,3,2022-09-13
S1V3H,VJL5E,3,,2,2022-04-11
S1V3H,IXU4J,1,5,,2022-07-05
DGJ85,SB3L6,2,,2,2022-01-27
DGJ85,IUWG8,,1,5,2022-02-04
DGJ85,PHPNC,1,2,1,2022-09-21
PPOCS,3FKG7,,,4,2022-10-22
PPOCS,TYD9O,,,,2022-02-20
PPOCS,5PQAC,2,4,2,2022-02-28
34K6O,U4K0S,4,3,,2022-01-16
34K6O,OE791,,4,5,2022-02-01
34K6O,HQSNA,,5,,2022-09-29
XLZ45,5XI94,1,,1,2022-07-29
XLZ45,NCDRU,,,,2022-09-23
XLZ45,9CR7S,,,,2022-06-01
E5UW1,QWAWV,,,5,2022-10-01
E5UW1,Y1GW1,,,,2022-07-23
1HZAS,FYQCT,,,1,2022-07-22
1HZAS,OFOQB,4,,,2022-04-02
1HZAS,HGTUB,,1,,2022-03-25
B0WMN,NL2WY,,,,2022-09-21
B0WMN,UOQ2K,,5,,2022-08-18
B0WMN,P8DKB,,5,4,2022-06-12
XK3GJ,UADIT,,,,2022-08-14
XK3GJ,G06XS,,5,,2022-04-17
XK3GJ,6A1CR,,,,2022-06-24
GT3TI,MABWW,,1,,2022-07-11
GT3TI,U5R93,,,1,2022-09-07
1HKQM,AU687,,,,2022-09-29
1HKQM,6ZG2P,,3,3,2022-05-19
1HKQM,PZXJ8,4,2,,2022-02-01
WLPL6,OFOQB,4,4,,2022-05-06
WLPL6,W7QGR,,3,5,2022-08-26
WLPL6,E9K7C,5,5,5,2022-02-14
MDCRW,C8HL5,,,,2022-07-08
MDCRW,1E2BT,,,3,2022-08-16
MDCRW,UHYY9,,3,5,2022-09-02
P34SI,3LLAJ,3,,,2022-05-11
P34SI,85TQL,,,,2022-03-15
P34SI,CTMHY,2,,,2022-04-05
X3L0S,TYD9O,1,4,,2022-01-07
X3L0S,08KUN,,4,,2022-10-12
X3L0S,T40C2,,,2,2022-04-16
WIWT3,XZJXD,2,2,,2022-02-15
WIWT3,HQSNA,5,,,2022-10-01
WIWT3,231ZN,,2,,2022-03-27
SRXC0,Q9QW3,1,2,,2022-05-25
SRXC0,BBHBZ,,,2,2022-03-08
SRXC0,HSQAJ,1,4,5,2022-05-10
YE3NU,519G2,4,,,2022-06-15
YE3NU,IBCNI,,2,5,2022-01-25
YE3NU,Y1GW1,,,,2022-02-09
CC7BL,WUSF0,,,,2022-02-26
CC7BL,VZNU6,,,1,2022-09-28
CC7BL,9FJ8S,2,3,4,2022-03-26
IHE8P,RYVDX,,5,,2022-01-18
IHE8P,XMWLA,3,2,,2022-08-11
IHE8P,CZ859,,,,2022-09-04
FQGYY,LJNGC,,,,2022-07-27
FQGYY,SW1FA,4,3,,2022-08-22
FQGYY,U3D5E,,2,3,2022-09-22
8DXG1,BX2PI,,,,2022-01-29
8DXG1,FWB4W,4,2,,2022-01-11
8DXG1,D73LI,,4,,2022-02-18
3200F,HQSNA,,,2,2022-09-04
3200F,KGD5Z,4,,3,2022-03-15
3200F,HYR8F,5,,4,2022-08-24
N5FGR,Y2ZFL,3,,,2022-08-12
N5FGR,BL4U8,,,,2022-02-16
N5FGR,HYR8F,5,3,,2022-06-01
05TT7,3LLAJ,,,4,2022-02-05
05TT7,KGD5Z,,1,5,2022-05-24
05TT7,V20LN,1,,5,2022-02-15
6IKGL,T40C2,2,3,,2022-01-15
XE0RZ,0QEPM,,2,,2022-03-17
XE0RZ,DZC76,,5,,2022-03-13
XE0RZ,IBCNI,,,,2022-10-06
5EICG,JY3X4,2,,,2022-02-18
5EICG,K5CLT,,,3,2022-07-06
5EICG,PV7VX,,,5,2022-03-23
ER7HT,X342E,,,,2022-10-10
ER7HT,CGC2X,,2,,2022-01-24
ER7HT,61A69,,,,2022-09-21
5XGBY,HGTUB,2,,5,2022-01-09
5XGBY,UDZHR,5,,2,2022-07-31
5XGBY,QX1AY,,,3,2022-06-15
6Z0GW,RJWPA,,,,2022-08-30
6Z0GW,XYUHX,,4,3,2022-02-09
6Z0GW,ZTLSE,,,,2022-04-11
NEW1K,X1CL7,,,,2022-01-28
NEW1K,T21O4,,2,3,2022-03-27
NEW1K,QMHWG,,4,2,2022-01-28
GFNR1,61A69,4,,1,2022-09-09
GFNR1,BHDQW,,,,2022-04-27
GFNR1,DI0C5,3,3,,2022-05-17
HBAFR,QQB6Q,,,,2022-06-19
HBAFR,J83G9,3,,,2022-03-12
HBAFR,92I2Y,,,3,2022-01-24
QS8TO,Y4HF3,,,,2022-07-15
QS8TO,4PJSD,1,,,2022-07-01
QS8TO,QLECR,2,2,1,2022-01-16
U4LP6,JWXSS,,,1,2022-08-20
U4LP6,6KXC3,3,,1,2022-02-09
U4LP6,8X3PV,1,,,2022-09-29
8AQG4,E189I,,,,2022-06-01
8AQG4,6GSGP,,,1,2022-03-19
8AQG4,P35EW,,,1,2022-04-12
THO1P,0QEPM,,,4,2022-05-20
THO1P,PRBZA,,1,1,2022-10-12
THO1P,QTM9A,2,1,5,2022-07-02
011WF,3KFLS,,5,4,2022-08-10
011WF,20AR2,,,,2022-03-07
011WF,LV4UC,,,,2022-09-28
JMFY4,0YU61,,,5,2022-09-19
JMFY4,0C7T4,,,,2022-03-20
JMFY4,YAK94,4,,3,2022-10-26
LT1QA,3KFLS,,,,2022-01-23
LT1QA,QN99Y,,,,2022-09-20
LT1QA,BW3MU,,,,2022-03-03
8XTIF,KR138,,,,2022-03-04
8XTIF,FQUO1,4,4,,2022-05-13
8XTIF,QWAWV,,,1,2022-07-25
YWTAO,4Z5VC,,,,2022-04-08
YWTAO,426K8,,1,,2022-02-15
YWTAO,PB6Z6,4,,,2022-08-20
VN9RX,36SYH,,3,5,2022-06-21
VN9RX,ZB7CT,4,1,1,2022-09-16
VN9RX,MQBSG,3,,,2022-03-09
ELMVL,V1RZB,5,1,,2022-01-06
ELMVL,IJI6N,3,,,2022-07-03
ELMVL,WSHUH,,5,2,2022-09-22
0MSFY,P35EW,,,5,2022-06-09
0MSFY,T02WF,,,,2022-08-10
0MSFY,6FWZI,2,,,2022-07-17
RK6DU,WDR82,5,2,,2022-05-01
RK6DU,Z0LJU,,5,3,2022-09-10
RK6DU,JQY1C,,1,,2022-05-19
3XNZ1,VPIG7,,,,2022-05-31
3XNZ1,AADER,,,,2022-09-13
3XNZ1,V5MBV,,,,2022-04-08
RBP64,CZ859,5,,2,2022-03-01
RBP64,XYUHX,,,,2022-08-06
RBP64,9FJ8S,,1,,2022-09-26
LO0YU,CTMHY,,5,,2022-01-05
LO0YU,3KFLS,,,5,2022-06-27
LO0YU,7ERSM,2,,1,2022-10-15
BJTDP,SZXQH,,,2,2022-01-31
BJTDP,3S3MN,1,4,,2022-05-11
BJTDP,L3VKI,,,,2022-10-15
CSD0V,UVBIT,,,,2022-01-18
CSD0V,0C7T4,,1,1,2022-07-31
CSD0V,TJ6FX,4,5,4,2022-04-20
P027C,5PQAC,,,4,2022-02-22
P027C,DDZV9,,,4,2022-04-04
P027C,NKKLD,2,,3,2022-10-23
BKV8V,U4K0S,,,3,2022-07-07
BKV8V,1149O,5,,1,2022-05-17
BKV8V,6IPKS,,,,2022-08-25
M2S46,GKTCF,2,3,,2022-04-22
M2S46,NJN0G,,,1,2022-09-19
M2S46,07RB8,,,1,2022-05-20
MCYKS,SHGFE,1,,1,2022-08-18
MCYKS,C9XKL,,,4,2022-09-04
MCYKS,4VDK3,,,,2022-08-30
P6VUR,CJZRT,5,,,2022-02-21
P6VUR,YFIBA,3,1,3,2022-10-05
P6VUR,HC0DY,3,3,,2022-05-01
42LPG,R7K4O,,1,,2022-05-31
42LPG,N169E,,5,4,2022-10-18
42LPG,G558B,,,4,2022-06-10
6BAHN,U4K0S,,3,,2022-09-10
6BAHN,SNR6X,,,,2022-02-01
6BAHN,449OC,5,,,2022-01-01
NEDMB,5JJX3,,,,2022-08-19
NEDMB,GPYLB,,2,,2022-03-16
NEDMB,TH583,1,,,2022-09-29
NEI16,PCL39,,2,3,2022-05-10
NEI16,BIVH0,,,,2022-03-04
NEI16,A8U7K,,,,2022-04-03
VUIFU,9EN65,,2,2,2022-03-28
VUIFU,LHRYU,,1,4,2022-09-05
VUIFU,RJWPA,1,3,,2022-06-24
8G032,EJ2DW,,,,2022-05-28
8G032,4CXZQ,,,,2022-10-03
8G032,7E9AJ,,5,,2022-09-19
7D92X,ET59G,4,4,,2022-08-09
7D92X,5MYGN,4,,2,2022-06-10
7D92X,GPYLB,,,,2022-01-13
WYFM8,WPI4A,,1,2,2022-06-06
WYFM8,ZXBS8,,2,4,2022-09-30
WYFM8,LJNGC,1,2,,2022-08-09
6VLT3,7B5PR,,2,,2022-06-12
6VLT3,7WHJR,3,2,,2022-10-27
6VLT3,07RB8,,,,2022-09-15
7ISAX,P8UM4,3,,4,2022-10-03
7ISAX,FZ6BO,,1,,2022-01-19
7ISAX,J5PAC,,,,2022-03-06
Q4PTS,D7CK2,,3,,2022-06-22
Q4PTS,M2HT6,5,4,,2022-01-25
Q4PTS,9X7GU,,3,,2022-04-11
KM0EY,AWFGJ,5,,,2022-09-30
KM0EY,9R01Y,,,,2022-03-03
KM0EY,M63IT,,1,,2022-06-23
GVRV3,ZB7CT,5,2,,2022-07-24
GVRV3,GV6M6,,2,,2022-07-09
GVRV3,YAK94,1,,,2022-08-07
VDU8D,6EBHW,,,,2022-08-23
VDU8D,0RNM3,5,4,,2022-10-21
VDU8D,Z0LJU,1,,,2022-01-01
DR99N,D7CK2,4,,1,2022-01-16
